,blueWins
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,1
157,0
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,1
171,1
172,0
173,1
174,0
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,0
191,1
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,0
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,1
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,0
261,1
262,1
263,0
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,1
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,0
311,1
312,1
313,1
314,0
315,0
316,1
317,0
318,0
319,1
320,0
321,1
322,0
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,0
343,0
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,1
384,0
385,1
386,0
387,0
388,1
389,0
390,0
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,1
410,0
411,0
412,1
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,0
440,0
441,1
442,1
443,0
444,0
445,1
446,1
447,1
448,1
449,0
450,1
451,0
452,0
453,1
454,0
455,1
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,0
464,1
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,1
478,1
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,1
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,0
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,0
521,0
522,0
523,1
524,1
525,1
526,0
527,1
528,1
529,0
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,0
539,0
540,1
541,0
542,0
543,1
544,1
545,1
546,0
547,0
548,1
549,1
550,1
551,1
552,1
553,1
554,0
555,0
556,1
557,0
558,1
559,1
560,1
561,0
562,0
563,0
564,1
565,1
566,0
567,1
568,0
569,0
570,0
571,1
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,1
580,1
581,1
582,1
583,0
584,0
585,1
586,0
587,0
588,1
589,1
590,1
591,1
592,0
593,1
594,0
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,0
604,0
605,1
606,0
607,1
608,0
609,1
610,1
611,1
612,1
613,0
614,1
615,1
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,0
627,0
628,1
629,1
630,0
631,1
632,0
633,1
634,1
635,0
636,0
637,1
638,1
639,0
640,1
641,1
642,0
643,1
644,1
645,0
646,1
647,1
648,0
649,0
650,1
651,0
652,1
653,1
654,0
655,0
656,1
657,1
658,1
659,1
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,1
672,0
673,0
674,0
675,0
676,0
677,1
678,1
679,1
680,0
681,0
682,0
683,0
684,1
685,1
686,0
687,0
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,1
704,0
705,0
706,1
707,1
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,0
722,1
723,0
724,1
725,0
726,0
727,1
728,1
729,1
730,1
731,1
732,0
733,0
734,0
735,0
736,0
737,1
738,0
739,1
740,0
741,1
742,0
743,0
744,0
745,1
746,1
747,0
748,0
749,1
750,1
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,1
759,0
760,1
761,0
762,0
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,1
772,1
773,0
774,1
775,1
776,0
777,0
778,1
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,1
787,0
788,0
789,0
790,1
791,1
792,0
793,1
794,0
795,1
796,0
797,1
798,1
799,1
800,0
801,1
802,1
803,0
804,1
805,0
806,1
807,1
808,1
809,0
810,1
811,1
